	Timestamp	Speaker	Transcript
18	0 days 01:12:52	Interviewee	Now while I was- although I was a messenger, Renee, sally and myself who were the three there and we were um taking and logging signals um, mostly they were signals from say north African- a lot of, i learnt more about the human body I suppose then than i ever knew before you know, because they'd come through wounded in action and they'd maybe give you the details. Most of the time they would, sometimes they didn't. And then they would end up by saying, next of kin, informed or not informed. Well we didn't do that bit, we had to log these signals then get signatures front the officers in charge of um, wherever you know, whatever. So from that point of view, it could be very sad. But you just had to let it ride over you, you know. But I suppose if you were over sensitive, i don't know. But we, three of us coped alright. But we were next door, the SDO then, there was a switchboard in there and um, we were next door to the commanding officer who was um, I think he was a lieutenant colonel then or he may have been colonel. His name was (unclear) so everybody said he was very strict but quite fair. Well if we had a turn of the giggles for instance, we would knock, knock, knock on the wall and that made us laugh even more you know. But one of the marines made up a little ditty about him. And it went, I can still remember it: 'there lived a colonel long ago, rejoicing in the name of Poe, but disliking this utensil, he grabbed himself the nearest pencil. And with a noise resembling glee, he placed two dots above the e. In this manner somewhat showing, his staff now have to call him Poë'. So and that was just a normal marine that made this up. But- 
19	0 days 01:15:39	Interviewer	Did you get a sense of how things were going on in North Africa- 
20	0 days 01:15:45	Interviewee	Yes, yes you could get a sense of that. You could get a sense of that. With the number of casualties and so forth coming through. 
21	0 days 01:15:55	Interviewer	Where there any that particularly stood out to you that you'd heard the name or you knew of or-? 
22	0 days 01:16:04	Interviewee	Well um, the names I didn't recognise any, but one of um, the chief officer- WREN officer in charge, now what was her name. Something like Wainwright i think but her- one of her sons was killed and she was a lovely person really you know, you consider your, um persons in charge are always nasty but she certainly wasn't, she was lovely. But she did have a- a thing come through you know. To say that he'd died. 
23	0 days 01:16:57	Interviewer	That must have been quite traumatic for her then. 
24	0 days 01:17:00	Interviewee	Yes. 
25	0 days 01:17:01	Interviewer	Is the messages coming through to you coded? 
26	0 days 01:17:06	Interviewee	No, it came- they came through on a teleprinter in full- they weren't coded. 
27	0 days 01:17:13	Interviewer	Can you just describe the set up? 
28	0 days 01:17:13	Interviewee	01:17;16 Well the set up was a bigish thing you and then when you heard the thing um, the noise when it started up you knew there was something coming in you know and then you had to wait until that was finished and then put time of- TOR- time of receipt etcetera on there and um that was it. Then from that point, you had to log it in the book and then that book was circulated to the officer who was responsible for whatever section you know. Um, I can remember there was Calver was one that got an awful lot of calls so he must have been in that section. Lieutenant Calver, C-A-L-V-E-R but i can't remember all of them. 
29	0 days 01:18:13	Interviewer	And were these, were these specific, you know, were they relative to regiments or were they just literally everybody injured out in North Africa-? 
30	0 days 01:18:21	Interviewee	Well it didn't always say what it just gave a name and number, you know but it didn't always you couldn't really say that they were Seaforth Highlanders or Gordon Highlanders or whatever you know. 
31		New Film	New Film
32	0 days 01:18:39	Interviewer	When were you in Ilfracombe, what year was it? 
33	0 days 01:18:42	Interviewee	It would have been, I joined up July 43 so I would have got there at- oh August probably 43, August 43 and then I was there for quite- several months anyway. Quite a while. From there i was posted to Barrow Gurney near Bristol and that was a hospital for more or less shell-shocked um, service- navy personnel really and marines and so forth. And I was mostly on night watch there. It was only just prior to going to Westfield College and every night, every hour there was a, I think he might have been either a PO or a CPO complete with gown used to do the rounds. Making sure that none of the um inmates had escaped for instance because they were all rather shell-shocked you know. But I had no- no bother. Well I wasn't there all that long it was only a matter of weeks before going off to Westfield College. Um, I suppose you see, when i was at Ilfracombe as well, there were three um elderly marines that manned the switchboard. Well, two were elderly, I suppose too old to go to the front for instance. But Bernard wasn't that old but he um, I think he might have been wounded and sometimes they were sent to (unclear) to- because it was easy work and not at the front you know. And there was one day when one of them was ill and um, they wanted a break so i said well i can work one of those. Because it was only a very small one and so i got on it and that was one of the reasons i think they sent me to Barrow Gurney before going to learn the whole um from the very smallest to the largest switchboard. And um at Hampstead after um we had the course, the last day we went to the admiralty. Well when I got in there, all these rows of things you know and i thought how on earth can I get up there. There was a kind of a footrest and you would- on a fairly high stall but i thought goodness. I had to aim the plugs up at the top you know and if you cut anybody off well, that would be the end of you, you know, but I managed but oh, that was massive and that was the sort of last little bit of our training- we went to the admiralty, just off horse guards parade you know it was then, all covered in ivy i remember. But um, I passed that in two weeks instead of three but I think that's because I had a bit of knowledge anyway on the smaller ones so. 
34	0 days 01:22:32	Interviewer	Just describe the SDO and the various ones you worked on. 
35	0 days 01:22:38	Interviewee	Um, now in (unclear) when I got there, that was the first posting after I went to Westfield College and we had always two maybe three on duty there, you know, two or three (unclear) and when the light comes out you obviously plug in and if you're quick or if you're doing- your partner or the next person will pick that up and then you have to test, always test and you can tell by the crackle if you just test it, if there's crackling on the line you know it's engaged. So if you over-plugged some of them, some of them you can over-plug and they won't be cut off but others you, it depends on the machine. You know. I don't think they do these things nowadays anyway but um, I think I could still work them. 
36	0 days 01:23:43	Interviewer	And you're basically- this is primitive telephone isn't it? 
37	0 days 01:23:48	Interviewee	Oh well, yeah, it would be now, it would definitely. 
38	0 days 01:23:53	Interviewer	And who were you patching through to who and where were you- where were you- 
39	0 days 01:23:57	Interviewee	Well, you got everywhere you see, um for instance I’d been on watch when um there might be a call coming through that everything is pooled out because it's urgent. And they get special treatment right through. Very urgent things that are secret, they would just say 'scramble' and if you listened in, you wouldn't hear the men, you wouldn't understand because it had just scrambled you know. So you always knew there was something going on if there was anything like that happening. There would be something that wasn't supposed to be generally known. 
40	0 days 01:24:42	Interviewer	How did they scramble- is that you- 
41	0 days 01:24:46	Interviewee	Well, we didn't do that, they did it from their ends you see. And it would only be these sort of head persons in charge- the captain or whoever it was of the ship because they always called them ships anyway, though they were land based, they were all the ships- HMS this and HMS that you know. 
42		New Film	New Film
43	0 days 01:25:11	Interviewer	Okay so you've gone from admiralty to I think Hatston is that right? 
44	0 days 01:25:16	Interviewee	Yeah- well at- stopped off at Dunfirmline first of all for about um, ten days. But that was-oh I- there I managed to get a trip onto the HMS Implacable. it was the indefatigable, the implacable and one other i can't remember what it is. But this was the implacable and it was just being commissioned and um, we WRNS that were in the holding depot were allowed on board if you wanted to go and have a look around. Very interesting, you know, to do that. So then um- from there I went to Twatt first of all in the middle of the mainland of the Orkneys. Then from Twatt to Hatston where- that's on the coast, it's only a few, about ten minutes from Kirkwall and i would have thought myself they would have kept that one as the main airport. They didn't- they were using Skeabrae which was the RAF slightly further in. But the main (unclear) really. But they used Skeabrae which was the RAF instead of keeping Hatston on. 
45	0 days 01:26:47	Interviewer	What was- what was Hatston like as a WRENery and as a place to- 
46	0 days 01:26:50	Interviewee	Um, well we had- it was all (unclear) camps and (unclear) huts that we had and um the old fire in the middle you know. Um it was very very blowy out there. Very very blowy. The weather could be simply horrible. And being little, both that way as well as this way um, I had difficulty getting the right size so my wellies were always rather big, you got issued with Wellington boots at (unclear) and um that sort of thing. And I remember I'd gone into Kirkwall for something and coming back it was raining and blowing and what not. I nearly took off because it- my thingymebob was so big, it was going underneath (unclear, laughs) so and i only took (unclear) and shoes and they didn't always have my size in shoes you know. 
47	0 days 01:28:01	Interviewer	What about social life was it, was there much- 
48	0 days 01:28:05	Interviewee	Oh, there, loads of it because there was everything there. There was the RAF and so forth and there were dances, various um RAF (unclear) and um drill hole and there were umpteen salvation army and um oh i can't remember what they were all called now but you could go in and have egg and chips, 2 eggs and chips- lovely. It was great. you wouldn't know there was a war on you know, when you were there. And they had um ENSA come you know the ENSA groups. there was plenty to do- plenty to do. 
49	0 days 01:29:00	Interviewer	Any famous people come in ENSA? 
50	0 days 01:29:02	Interviewee	Well i didn't- the most famous i suppose that i ever went to see was in Ilfracombe and that was- what's the one that was- he- I’m a yankee doodle dandy. Oh dear (laughs). Oh you would know him. He's not a very tall chap. He came to- because of course being loads of Americans there in Ilfracombe um, they had some of the American entertainers. 
51	0 days 01:29:38	Interviewer	Irvin Berlin? 
52	0 days 01:29:39	Interviewee	No no- oh dear dear dear. I can see him now. Can't think of his name. Not Mickey Rooney. Yes- was somebody like that anyway, might have been Mickey Rooney. So if you had an American boyfriend, he would take you to their dos. I went on leave from the Orkneys and in those days if there was a plane going from Hatston to the main land and there was any room, any WREN um, would be allowed to go. So I was fortunate on one occasion only to go. DC- what would it have been, very small plane because there were only two men they um- the pilot and the co pilot and then there were us two WRENs going. Well we go to Inverness that was where they were going. We got off at Inverness but my ears- the noise you don't have that now do you when you get off planes. But oh that was dreadful. I couldn't hear a thing for hours you know because this noise was still there. So i had my first flight way back then. That was nice wasn't it. 
53	0 days 01:31:15	Interviewer	Did you feel like you was an important part of the war effort? 
54	0 days 01:31:20	Interviewee	Oh, up there yes definitely. (unclear) the fleet- the whole fleet's there based at Scapa Flow and yes. 
55	0 days 01:31:31	Interviewer	When you say you felt it was important I mean, you know how much communication are you having or hearing from the ships? what are you, what- 
56	0 days 01:31:40	Interviewee	Well um, yeah. When um the ships were coming back say from the um convoys to Russia, you'd hear that they were coming in but you'd have to listen in. Oh well- April 6 squadron's back tonight that mean winds are short tonight you know that kind of thing yeah. 
57	0 days 01:32:11	Interviewer	And what about when ships wouldn't come back? 
58	0 days 01:32:20	Interviewee	Um, well I’d- I didn't know any- I've had um one chappy that i had a date with once on the Monday and he said see you Saturday but I didn't see him Saturday because they had in Norway, they went to bomb something in Norway and his name was Payne and all Payne's were known as Whackers, you know they were all like Dusty Miller and Bungy Williams and things like that and Whacker Payne and he didn't come back. He was taken prisoner apparently, did hear that afterwards. So, but i didn't know of any ships that had really been- anybody on a ship that had been sunk completely. Didn't know anybody. But the Trumpeter was also on the Atlantic convoys. 
59		New Film	New Film
60	0 days 01:33:20	Interviewer	Just explain your relationship with the Trumpeter. 
61	0 days 01:33:24	Interviewee	Um well, I met this chappy which is my um, my husband eventually. Um, at one of the dances in the drill hole and every time he came in, I knew i had a date that night so. And then he went with a crowd of them so if he wasn't ashore, one of the other would come and take us girls out. The only time that um Gwen who's always clean shaven, but you know that the navy's not allowed to just grow a moustache, they must have a set. So the number of - didn't you know that? Oh yes, you can't have just a moustache, now the airforce you know, they could grow the big moustaches, but you've got to get permission to grow a set and of course when they went to artic convoys, of course it would have been the thing to do, you grow a set because otherwise you know, pretty cold shaving every day wouldn't it. And he only grew a set once. And then he, when he was (unclear), he shaved off the beard and kept the moustache and then - my mother said to him one day 'I don't like you with that' so he shaved it off (laughs). He didn't shave it off for me but he shaved it off for my mum. He also was - the trumpeter was also on um, a convoy to Malta. And i haven't got that photograph because again my um, great-niece has got it. As they were coming back from Malta, they called in at Gibraltar and their eating bananas, because of course there were no bananas here to be had, so they were showing off - I think four of them in the picture, all tucking in to these bananas. So they were not only on the Russian convoys, but um, they did the Malta one anyway and they were also on the Atlantic. 
62	0 days 01:36:04	Interviewer	What was your feeling when he went off to see to do the convoys - do you remember? 
63	0 days 01:36:10	Interviewee	I don't think that I ever thought anything could happen. That is the - I’m sure I didn't. well I know I didn’t, you know 'I’ll see you next time when you're back'. I never thought of it being that dangerous although obviously it was. 
64	0 days 01:36:35	Interviewer	How close did you feel the war was sometimes? 
65	0 days 01:36:38	Interviewee	Well, I - I think that the, one of the things that brought it home to me after D-day was because i'd got one of the Americans I used to write to him, that it wasn't that he was a boyfriend as such, you know what i mean, but a friend. And he was of German extraction and another one was of Italian extraction. Now, isn't this strange that they're fighting against the Italians and the Germans (laughs) it was funny, but Marvin, he was the one that was killed in Belgium. And I had one of my letters returned. And it wasn't until that point - because I hadn't known anybody else that had been killed. And it wasn't until that point that I realised just how bad it was. And then i had his - he must have told his mother that I was his girlfriend, well I suppose I was a girlfriend but I wouldn't say I was the girlfriend if you know what I mean. And she sent me, I’ve got it there actually - She sent me, (unclear) things as well. So poor old Marvin. But I was just reading this morning, he was born in 29 I think it was 29, I was born in 20, I didn't think he was that much younger but still. 
66	0 days 01:38:33	Interviewer	And- you mention it then, D-day. Did your work increase up to d-day? 
67	0 days 01:38:39	Interviewee	Oh there was - yes, yes, there was always a lot of um action going on, busy switchboard etcetera - on d-day. But at Hatston now, again we didn't do a lot of um parade work, but we did go on divisions one day. Um, you'd be nominated and very rarely we were on there. But the captain in charge at - the chap in charge believe it or not didn't like WRNS in the old Lisle stockings you know, the thick Lisle stockings. He only liked them in the silk stockings. So well - instead they'd be rayon really, I don't suppose they'd be pure silk, well they weren't pure silk I do know that. And so only WRNS that had silk stockings could go on parade. 
68		New Film	New Film
69	0 days 01:39:44	Interviewer	And what- where did you go after Hatston? 
70	0 days 01:40:05	Interviewee	Well, the war finished and we came down lock stock and barrel from Hatston to halesworth because they closed Hatston then. And um, Halesworth had been an RAF station, so um we had to mess with the men, i don't mean - I mean , mess with the men, have your meals and things with the men. And the WRENs were very lucky really because we always had teapots - big teapots, the old enamel ones but always in there -teapot. Whereas when we got down there, i suppose they'd left a lot of the stuff there and they had um so you never know whether you were having tea coffee or coco, it all tasted the same. Instead of keeping one for tea only and one for coffee only and so forth, oh, no didn't like that at all. 
71	0 days 01:41:09	Interviewer	Do you remember VE day? 
72	0 days 01:41:11	Interviewee	Um, yes I do, I do indeed. But um, there wasn't that much - i think London was probably the place to be on VE day really. Because we still would have been um, on duty because being in communications, I wore the cross flags on my sleeve, rather than the W or whatever. And um, I think um you were always on duty, (unclear) watch keeping. So you had mornings, and you had afternoons, you had evening shifts and night shifts. And um, I, I preferred that actually than a nine to five job. 
73	0 days 01:42:06	Interviewer	(unclear) made the return of their convoy to Lioness after their- 
74	0 days 01:42:14	Interviewee	Oh well, no I was on loan to Lioness for three works, somebody - or two weeks or three weeks I can't remember but um, somebody was off sick, so I had to go to Lioness to cover. And during that time the Nabob came in, right, and um I could - there the, the switch ops and things were underground a bit. Not on the top, slightly underground. And, I remember my tea break went up to ground level and you could - watch the soldi-sailers come off the ship and they were all looking about 16 - 18, very young looking you know. And drunk as lords, really they were. But you can't blame them can you, because there they were, they could have been at the bottom of the ocean by then you know. And especially (unclear) to limp back to Lioness you know. 
75	0 days 01:43:29	Interviewee	Well the funny thing is, years after when my, um, married Alfred, it wasn't until two years or so after I married him and i was talking about - we were talking about the WRNS or the Orkney's or something and I said something about the Nabob and he said - what did you say, the Nabob? I said yeah - and his brother-in-law was on that ship, so I must have seen him come off that day too. And all these years later, must be 60 years later or so, we find this out. Isn't it a small world? 
76	0 days 01:44:02	Interviewer	How do you reflect on the war now, that the - the war itself and your work in the war? 
77	0 days 01:44:08	Interviewee	Um, well i'm glad I joined up I must admit. I think um, I had a better time in the services than I would have had if I’d just been working and whatever. Um, in wartime - well I think um, my first, no wouldn't be my first job, my second job after was (unclear) . I worked at Staines kitchen equipment in (unclear) street. And there was a woman there, she was older than I, and she had a son, Peter, who was in the - I think he was the army. And he was in Germany. She never had a good word to say, for instance, about Germans - ever, you know. Well, would you believe, Peter was stationed there for a while, and he married a German girl, so she had to eat her words didn't she (laughs). But I made good friends, I have no qualms about - there's good and bad in everybody. In every race and nation. So, but I can't- what I can't understand nowadays, is this conflict going on um, in Syria for instance. How can people kill their own? I just don't understand it. Well, I - I can see the point, because as I say, in - when we were in diplomatic services, one of our first postings was to um, Lagos in Nigeria. Well again, there are loads of tribes there, reminded me a little bit of the Scottish clans, frankly you know. And then of course, they - we had left just before the (unclear) and the, you know the East and the West, because of the oil again. Um, well a tribe is ok but I can't see this in Syria, I really can't. And I can't see why Scotland wants to separate either. Alex Hammond wants his head sorted (laughs). 
78	0 days 01:46:55	Interviewer	And what about the WRENs, how do you feel about that? 
79	0 days 01:46:59	Interviewee	Being a WREN? Proud of it, proud of it, very proud of it. Now I um, when I was - had the Globe Laurel, I bought another hat. When I was transferred back to the fleet air arm, of course I had to wear the HMS, so I kept my marine hat and every time I went on leave I would swap it over because nobody knew what I was then you see, I was so proud of my marine hat. 
80	0 days 01:47:33	Interviewer	How did you get that? 
81	0 days 01:47:35	Interviewee	Well because I was (unclear) marine. The home based (unclear) office in Ilfracombe but really I suppose, the pay office and that sort of thing - that's why everything had to go through there when people were injured, died and so forth. Um, yeah. So um, I do know I used to notice people looking at me you see, wandering what I was and I liked that. 
82	0 days 01:48:09	New Film	New Film
83	0 days 01:48:09		 
