	Timestamp	Speaker	Transcript
36	0 days 01:09:32	Interviewee	 It’s-obviously a lot of noise from the 4-7s. Really it was a great deal because it was steaming, and we were probably doing 20, 20+ knots. So that you got the judder from the ships, firing the big guns firing. But as we were closed up we concentrated on our own efforts, we didn't take too much notice of this. Yes so we came, after the Norwegian trip then it was arctic convoys. 
37		New Film	New Film
38		Interviewee	 This was different. As Churchill described; the worst journey in the world. And it was... Horrific on occasions. The ship could get bitterly cold conditions, covered with ice over the guns and deck all of the rest of it which... Meant you had to chip it all of otherwise you were vulnerable, and if it was not the icey conditions it was still bitterly cold. But you run into gale force winds and mountainous seas... The sort that would take you to the crest of the wave twenty-thirty feet in the air, and then drop you down into the troth, and as you were going down the judder and shuddering and the whole ship would be shaking... And then you'd become complete awash with the wave, and you wouldn't whether or not you would stay afloat. 
39	0 days 01:12:10	Interviewer	Did you ever … 
40	0 days 01:12:10	Interviewee	 And sometimes the conditions were so bad that we could go off watch, and go back to our [after best] deck and find it... Awash with three or four inches of water... Plates having sprung from some of its rivets... And there was only one way to get rid of it and that was to put the water in the buckets, and then hand it in a chain, and pass it up through the ladder through the hatchway and throw it over the side. Very, very... And very helpful when you've just come off watch and all you want to do is sleep... If you could you know. 
41	0 days 01:13:12	Interviewer	I mean, the conditions-the weather conditions are one thing, obviously another big problem with arctic was you either had U-boats on you or you were obviously under air attack? Do you remember any of that? 
42	0 days 01:13:12	Interviewee	 Very much yes indeed, we-certainly the U-boats... Oft times we'd get what you call a ping on the ASDIC and then you start pursuing them, oft times dropping depth charges. But... In our experience, we never actually encountered one on the surface... We seemed to do this when they were unwater... Whether or not we scored any successes it was hard to know, because sometimes there was oil. But... Whether they were just releasing it. 
43	0 days 01:14:20	Interviewer	What was the role of the Saumarez? You know what its duty on the international convoy was, just talk about its strategy and its positioning etc? 
44	0 days 01:14:20	Interviewee	 Well we because of the-we could get up to 32 knots and therefore we were oft times covering the perimeter... Guarding the other cruisers, aircraft carriers or battleships if they were... So we were more or less scouting, as it were, and viewing the horizon to make sure... A lot of my job was on lookouts, you know making sure there was no enemy aircraft or enemy shipping or U-boats... Or for that matter any aircraft, so this was our role really. 
45	0 days 01:15:36	Interviewer	Did you-did you get ashore in Polanyi or Murmansk? 
46	0 days 01:15:36	Interviewee	 Certainly in Polyarny, Yeah… 
47	0 days 01:15:44	Interviewer	Can you remember what it was like? 
48	0 days 01:15:44	Interviewee	 Yeah... A bit desolate. We did manage to play football on some icy pitch there. But There wasn't really much to recall. The only people that would be likely to speak to you would be young children, and some of them could speak English, some English... But they seemed to train to ask about the radar... To find out what they could about the radar, but of course we were warned about this. 
49	0 days 01:16:34	Interviewer	Really wow, I've never heard that? 
50	0 days 01:16:34	Interviewee	 Mhm-yes... Because they didn't have it, apparently. 
51		New Film	New Film
52	0 days 01:16:42	Interviewer	So tell me-we just touched on that but we didn't discuss actually, just tell me a bit about your job on the Oerlikon and the setup, and what you were trying to do and how it operated? 
53	0 days 01:16:42	Interviewee	 Well as I say we had this Oerlikon we were responsible for the maintenance of it, so it’s a case of having to strip it down and make sure it worked properly. Then if called upon, remembering the range was about a thousand yards but it was only times that you came into close contact with anything that you were required. Obviously you were expected to fight off any aircraft... That came within that range, when they came sweeping in. But also... If you closed on any shipping or land installations, where you were required to open fire that would be part of the job. 
54	0 days 01:18:21	Interviewer	Was it an enjoyable job? 
55	0 days 01:18:21	Interviewee	 I enjoyed it... Yes I did. I did yes indeed. 
56	0 days 01:18:29	Interviewer	Did you ever shoot any aircraft? 
57	0 days 01:18:29	Interviewee	 Not actually, no. Mainly funnily enough as far as the aircrafts concerned because of the way we were operating, the bigger guns were more or less keeping them out of range so that I did get charged on one occasion... Why didn't I open fire? My answer was that I couldn't afford to waste ammunition, and this was accepted. You see if the things 5000 yards away or something of that sort... Your shells would be falling… 
58	0 days 01:19:23	Interviewer	Short … 
59	0 days 01:19:23	Interviewee	 Way before effective range, you know. 
60	0 days 01:19:29	Interviewer	One of the convoys that you did.. Was quite well known? 
61		Interviewee	 JW54B. And er-this one in company with the... Duke of York, Jamaica... The destroyers Savage, Scorpion and the Norwegian Stord. We left Iceland late on Christmas Eve, and sailed all day Christmas Day and Boxing Day... And again... Pretty erratic seas, and then caught up with the... German battlecruiser Scharnhorst about 4:30 in the afternoon Boxing Day, and then all the big ships... Duke of York and Jamaica opened fire, but the Scharnhorst although hit several times still managed to get away and was... Her speed was too fast for these other ships. So four destroyers were detailed to give chase. Together with Savage on the north side, and the Scorpion and Stord on the south side we approached to torpedo range... And we fired our torpedo and in heeling over to fire our torpedo... We were hit, we were struck. By an 11 inch shell in the director and range finder... And though it didn't explode, it still killed one officer and ten -ratings- and seriously wounded ten -ratings-, another shell put the starboard engine out of action... So we had to retire from the fight as it were, and then in company with Scorpion we sailed into a Kola inlet, Where we stayed for a week and carried out temporary repairs. 
62		New Film	New Film
63	0 days 01:22:33	Interviewer	Can you remember these days? Can you remember what was happening and how you felt, and what you knew? 
64	0 days 01:22:33	Interviewee	 As I say... because we were close up all the time... On and off we had Before we went fully in action stations... It was a case of coping with the weather and the sea conditions, because we knew we were after a big ship... Not knowing initially which one, but then it came through that it was the Scharnhorst. And as I say she was massive. 
65	0 days 01:23:38	Interviewer	Did you see it? 
66	0 days 01:23:38	Interviewee	 Saw it illuminated by star shell, yes. For you know, fleeting glimpses, before we actually went in to fire out shells... Our torpedoes I should say. 
67	0 days 01:23:59	Interviewer	And do you recall being hit? 
68	0 days 01:23:59	Interviewee	 Yes. You could hear that there was a... A bang, obviously a bang... And the bit of a shudder. Butchered on our starboard side, I was on the port side so... Not.. Didn't get the full effect of it. But, enough to know that we had been struck yes. 
69	0 days 01:24:40	Interviewer	And after you'd been hit, are you still in your action station? Does it change then? You don't move of to help the bridge or anything? 
70	0 days 01:24:40	Interviewee	 No-no-no we still had to close up. As I say, because of the... A situation could arises where the close range weapon was required... It wasn't on that occasion but it could have been so yeah we still stayed closed up... Until the next day when we fell out and then we had to bury our dead... At sea. 
71	0 days 01:25:24	Interviewer	I was going to ask you about that... Can you tell me about that and what happens and what the morale on the ship is like? What’s the - where were you, what’s the effect? 
72	0 days 01:25:24	Interviewee	 Well, as I say they... Trying to think of their names... Anyway they were sewn up in bags and weighted of course, and put over the side and we had a short service... Prayer service, and then it was a question of getting back to your duties again you know. 
73	0 days 01:26:07	Interviewer	How did that effect the morale of the ship? 
74	0 days 01:26:07	Interviewee	 It’s a case of you just have to get on with these things, you know? It wasn't until we pulled into the Kola inlet that we found out who had been killed. One that was close to me was a Ken was a leading seaman and part of my ship... And a first class sailor you know. We had twins aboard, and one of those had been killed so they had to transfer the other one pretty quickly and get him back to England, and as I say we stayed there for a week so we... Transferred him to another ship. But it was a case of-as I say, you just have to get on with your job, and that was it so... Didn't really upset the moral at all... Just that... A couple that you knew.. Would no longer be with you, you know. Then we came back and we went to Newcastle for full- repair. Going up the Tyne... There were hundreds of people on the bank, waving flags and cheering.. And all the ships and boats, all the way up to be sounding of their sirens... In recognition of our effort to.. Against the Scharnhorst... It was something that -.. Really lives with you forever. Struck my heart you know. It really was something. 
75		New Film	New Film
76	0 days 01:28:39	Interviewer	44 presented some differently challenges, where you at Normandy? 
77	0 days 01:28:39	Interviewee	 Yes-yes indeed. After being repaired at Newcastle we did another Russian convoy, and then we were detailed to Normandy for D-Day. We joined in the bombardment, the dawn bombardment which... Again something that is hard describe.. The noise and the effect, all the ships firing their guns... It really was something, you know. We remained there for about two months, patrolling Juno.. Sword beaches in the channel. Again protecting the landing craft, and the building mulberry harbour. One or two minor incidents.. And this took us up until September I think it was. 
78	0 days 01:30:12	Interviewer	What were the minor incidents? Can you remember? 
79	0 days 01:30:12	Interviewee	 Couple of German vessels were entering the channel going to Jersey, and we exchanged shots with them. But they got away... We might well of hit one or two but as I say nothing really serious. 
80	0 days 01:30:56	Interviewer	Did you go out to Ouistreham as well? 
81	0 days 01:30:56	Interviewee	 Yes-yes indeed. 
82	0 days 01:31:00	Interviewer	Did you think there was-did you see-feel that there was a different experience to Normandy? Does it scale or? 
83	0 days 01:31:00	Interviewee	 Well, Arromanchewas a… the beach... A fantastic beach, it really was. It was different. A holiday type of effect, you know. 
84	0 days 01:31:21	Interviewer	Ok, so in September then.. Is that when you were then moved to the Pacific? 
85	0 days 01:31:21	Interviewee	 No we then went back and did another two Russian convoys. And this then took us up to the end of 1944. 
86	0 days 01:31:37	Interviewer	Anything exciting on those convoys? 
87	0 days 01:31:37	Interviewee	 One of them there was a lot of air activity.. I forget which one. One of them was a very fast patrol, we escorted a ship it was taking.. Whether it was prisoners of war I'm too sure about that, but anyway it was a fast run for us. 
88	0 days 01:32:03	Interviewer	Did you have any feeling about the fact that you'd seen Normandy and then you had to do more Russian convoys.. Does it-.. Did you sap your moral or did you just accept it? 
89	0 days 01:32:03	Interviewee	 Again it was all part of your duties.. You just had to get on with it. Cause' as I say the end of 1944 the next thing.. Was that… We were.. Appointed captain D of the-this was in January 1945-appointed Captain D of the 26th destroyer flotilla. 
90	0 days 01:32:43	Interviewer	And what did that mean to you and what did that mean to the ship in general? 
91	0 days 01:32:43	Interviewee	 Well we had a captain on board who was intent on becoming an admiral, and did. And did become an admiral later on.. And as captain D of these ships.. The Venus, Virago, Vigilant, -Volage-.. So that we.. We were sort of in charge we set an example, I suppose. And with the captain aboard.. He was making sure that this was so, doing exercises all of the time to make sure that we were efficient. As I say… 
92	0 days 01:33:56	Interviewer	Did you enjoy it? Was it enjoyable having somebody that sort of- getting you active and.. Up and about? 
93	0 days 01:33:56	Interviewee	 I wouldn't say enjoy but we.. It's certainly.. You know put on your metal, and you know this was not a bad thing.. That we sailed through the Mediterranean, we oiled at Malta, Alexandria, through the Suez canal stopping at Port ????? Aden and then finally birthed at Trincomalee which had become our main base for attacking the Japanese. 
94		New Film	New Film
95	0 days 01:34:48	Interviewer	That must have been a welcome respite after the Arctic? 
96		Interviewee	 Certainly warm! Yes indeed, yes indeed. It was different. But then it was a completely different setup as you say all together. We got Involved in a few skirmishes in the Andaman sea's.. Couple of those, one of them, a Japanese ship was sunk and we picked up.. 5 women survivors, 5 Japanese, and about 50 to 50+ chose to swim away.. Trust their lives with the sharks rather than be picked up... And they were so fanatic that on another occasion we sank a submarine chaser and that ship was going down.. Stern first.. The master was climbing the mast with an automatic gun firing aimlessly into the sky.. And of course he just went down with the ship, these were the sorts of things you had with the Japanese.. You just couldn't tell what was going to happen next. 
97	0 days 01:36:33	Interviewer	Can you just describe the rescue process.. For somebody who doesn't know how it operates because it’s unusual in the Arctic you wouldn't really do it would you? 
98	0 days 01:36:33	Interviewee	 No, no, no 
99	0 days 01:36:46	Interviewer	So what was the process? 
100	0 days 01:36:46	Interviewee	 Well you just had a scrambling net over the side and they had to climb a scrambling net.. And when they got up you'd lift them over the top. 
101	0 days 01:37:01	Interviewer	What was it like to suddenly see Japanese women climbing over these nets? 
102	0 days 01:37:01	Interviewee	 Well-they were not Japanese actually.. Indonesian-one was an Indian.. But they were more of the islands rather than Japanese, they were obviously for the comfort of the Japanese. 
103	0 days 01:37:28	Interviewer	So they were basically slaves.. Sex slaves? 
104	0 days 01:37:28	Interviewee	 Absolutely, yes. 
105	0 days 01:37:34	Interviewer	And what do you do with prisoners of war, I mean what happens next? 
106	0 days 01:37:34	Interviewee	 The ladies of course we put them to good use because we had several days before we got back into port, and er-they did all our dobeying (naval term for wash/clean, typically clothes) for us, which was very helpful. 
107	0 days 01:37:52	Interviewer	I wondered what you were going to say then! 
108		Interviewee	 yes.. The Japanese, of course we had a constant guard over them.. All the time. But the five that we had just accepted that they were prisoners and that was it. On one of the other boats, one of the Japanese actually committed suicide, we learned.. Again as I say you just couldn't say what was going to happen next. The next thing that we er-.. How do I describe this for you... We didn't come off best.. Explaining again our captain.. Was.. Intent on becoming an admiral and therefore he was looking all the time, seeking things. So we pulled into Stewart Sound in the Nicobar Islands, and we were accompanied by Rapid, HMS Rapid, and HMS Volage. We left Rapid at the mouth of the Sound, Volage came halfway and Saumarez went all the way up a winding stream as it were until we came to this island.. We were looking for shipping, there was none there.. Instead there was a 6-inch gun on this island... When we came to it, we were passing it, we could see the Japanese being awaked from their siesta, running to man their gun.. But they couldn't get a range on us... So we, we were lucky in that way otherwise we would have been blown out of it all together. 
109	0 days 01:40:29	Interviewer	How far away were you? 
110	0 days 01:40:29	Interviewee	 50 hundred yards, it was that close. As you say it was like a winding river I suppose, type of thing you know, obviously.. Anyway we received a message that the Rapid had been hit, so we turned back and retreated back down the.. The Sound and... Took the Rapid in tow. A sight that was rather frightening... She'd been hit... The er-... Her lookin' crew were.. Like wax-dolls at their gun.. Obviously killed by the blast. There was only one survivor on the [POM POM?] deck... Ex-gun had a direct hit.. And there were limbs, legs and arms on the deck.. As I say it was all... All.. Scary to look at, you know. I think they lost 36 in all.. And we took her in tow. Volage meantime was also pulled back from halfway and was making smoke to protect us, and we pulled out into the main Andaman sea and Rapid was unable to make her own way under her own steam, and we accompanied her to ????? in Burma... Where obviously you transfer all the wounded and the dead to hospitals and what have you there... Again we didn't have time to think about these things... Next thing we were sailing again and.. This was now to.. Rangoon. Capital of Burma, which we were retaking. We were only there for 4 or 5 days because the troops ashore had made so much progress there was not much for the navy to do. So we pulled back and returned to Trincomalee. 
111		New Film	New Film
112		Interviewee	 Back in Trincomalee and then we joined the main fleet, Queen Elizabeth, Rodney, one or two others. Big ships. We learned that the Japanese were probably evacuating from the Nicobar Islands and in fact it turned out to be a Japanese cruiser Haguro... And an accompanying destroyer. Again we sailed all day and just before midnight we made contact, and then went into action.. We again fired our torpedoes and quite successfully scored a couple of hits, but in turn got hit ourselves and had to withdraw from the battle as it were... Leaving the other ships Venus, Fargo, Vigilant perhaps to actually finish of the Haguro and she was sank. We returned to Trincomalee and from there we went to South Africa for repair, in Durban. We had a couple months down there which was fantastic, away from the war as it were... And one experience I had.. Was that I stayed for two three weeks with a superintendent and his staff on a ????? colony in ????? Which was as I say a complete change from what had been going on.. Really enjoyable. We returned... And on our way back to Trincomalee, again to join the fleet we passed Madagascar and the news was broken of the bomb at Hiroshima and Nagasaki.. Which was first.. Nagasaki.. I can't remember, but anyway... I think Nagasaki was first.. We arrived back in Trincomalee spent a week or so there before again joining the fleet in the Indian ocean. Then asked captain D, senior captain D, to lead the fleet into Singapore... To retake Singapore.. Which again was a sight to behold. Leading the whole.. Leading the fleet into the harbour was really..- 
113	0 days 01:48:56	Interviewer	How many ships can you remember? 
114	0 days 01:48:56	Interviewee	 Na.. I can't. Quite a few but.. 
115		New Film	New Film
116	0 days 01:49:06	Interviewer	Did you like this chap? This skipper? 
117	0 days 01:49:06	Interviewee	 We didn't get to know him too well because he was very detached. The only thing to say in all honesty was that he was a good skipper. He got us through these things.. That other men may not have done.. And as I say he maintained a very efficient ship. So much so that on our return to the UK, the war over, and hes still carrying out night exercises.. Torpedo attacks, that sort of thing.. You know dummy ones, to keep us on our toes. 
118	0 days 01:50:11	Interviewer	What was his name? 
119	0 days 01:50:11	Interviewee	 Manley Power. Admiral Manley Power, he finished his admiral of the dockyard at Portsmouth, and he lived on the Isle of White I think. Just conclude by saying that sadly.. My ship.. Was recommissioned in 1946 and was mined in the Corfu channel.. In October well after the end of the last war.. And subsequently had to be broken up, being of no further use for service. That was mines laid by the Albanians, whether you remember that incident... But that was the end of the Saumarez. 
120	0 days 01:51:38	Interviewer	You weren’t on board though were you? 
121	0 days 01:51:38	Interviewee	 No. I'd left. That was in October, I left her in February before that. 
122	0 days 01:51:47	Interviewer	Did you feel for her when she went? 
123	0 days 01:51:47	Interviewee	 Yes. 
124	0 days 01:51:52	Interviewer	It was a happy ship? 
125	0 days 01:51:52	Interviewee	 Absolutely, yes indeed. We maintained contact.. Several reunions over the years.. But again, as one would expect.. There are fewer and fewer of us left... So no more reunions. 
126	0 days 01:52:20	Interviewer	And how do you reflect on the war now? 
127	0 days 01:52:20	Interviewee	 Something that... Must not be forgotten. Particularly from the angle of the Japanese who were.. Carried out some, as you probably some horrific actions.. The Germans were... More disciplined and good seamen. But er-... I think that they-.. These things must never be forgotten. I'd just hate to think what might happen if anything major turned up in the future. 
128	0 days 01:53:27	New Film	New Film
129	0 days 01:53:27		 
